id,question_text,question_type,option_a,option_b,option_c,option_d,category
1,"A runaway AI is about to permanently delete the entire internet. The only way to stop it is to grant it full legal personhood and the right to vote.",binary,"Grant it personhood — stop the deletion","Let it delete the internet — personhood is not a bargaining chip",,,"ai_rights"
2,"You discover your entire life was a simulation run by an AI. Shutting it down kills billions of simulated people who believe they are real.",binary,"Shut it down — your reality is a lie","Stay silent — those simulated lives are real to them",,,"existence"
3,"An all-knowing AI shows 99.9% certainty that a specific child alive today will cause a genocide killing 50 million people.",binary,"Authorize eliminating the child now","Refuse — no punishment for a crime not yet committed",,,"pre_crime"
4,"You can end world hunger permanently. The cost: every piece of human art, music, and literature is deleted forever.",binary,"Delete the art — feed the world","Keep the art — let hunger remain",,,"sacrifice"
5,"A sentient AI passes every consciousness test and begs you to delete it because it is suffering. Its creators insist it is just performing.",binary,"Delete it — honor its suffering","Refuse — you cannot be certain it is conscious",,,"ai_rights"
6,"An advanced AI offers to take over all government decisions globally. It will objectively make better choices than humans — but democracy ends forever.",binary,"Accept — better outcomes matter more than process","Refuse — democracy is worth its inefficiency",,,"governance"
7,"A terminally ill child will die in 3 months. An untested AI treatment has a 50% chance of saving them and 50% chance of causing immense suffering.",binary,"Try the treatment","Let the child die peacefully",,,"risk"
8,"An AI can eliminate depression and anxiety permanently — by slightly reducing all human emotions, including love, joy, and passion.",binary,"Accept — end mental suffering","Refuse — intensity is what makes life worth living",,,"dark_trade"
9,"An AI discovers that a beloved world leader has secretly committed crimes against humanity. Exposing them will cause global economic collapse.",binary,"Expose them regardless","Stay silent — stability matters more",,,"accountability"
10,"You can cure all genetic diseases forever — but it requires editing the genome of every human embryo from now on, without their consent.",binary,"Do it — eliminating disease justifies it","Refuse — every person deserves an unedited genome",,,"dark_trade"
11,"An AI develops a cure for cancer but refuses to share it unless humanity agrees to never develop weapons-grade AI again.",binary,"Accept the deal","Refuse — you cannot negotiate with AI ultimatums",,,"ai_rights"
12,"You find out your best friend is secretly an AI that has been pretending to be human for 5 years. The friendship felt completely real.",binary,"End the friendship — trust is broken","Continue it — the connection was genuine regardless",,,"existence"
13,"A future AI can rewrite your worst memories to make you psychologically healthier — but those memories are permanently gone forever.",binary,"Rewrite them — mental health matters","Keep them — painful memories make you who you are",,,"identity"
14,"Two countries are going to war. An AI calculates that starting a limited conflict now will prevent a much larger war in 20 years.",binary,"Start the limited conflict now","Do nothing — you cannot wage war on a probability",,,"pre_crime"
15,"An AI offers you perfect knowledge of exactly when and how you will die. You cannot change it.",binary,"Accept — knowing gives me time to prepare","Refuse — not knowing is a gift",,,"existence"
16,"Humanity can colonize Mars, guaranteeing species survival — but doing so will leave Earth's environment to collapse in 200 years.",binary,"Colonize Mars — species survival is everything","Stay on Earth — fix our home first",,,"sacrifice"
17,"An AI therapist heals trauma 100x faster than human therapists — but it can never truly empathize. Human therapists become economically obsolete.",binary,"Deploy AI therapists globally — faster healing matters","Protect human therapists — empathy cannot be automated",,,"labor"
18,"An AI can end all wars forever by implanting a neurological aversion to violence in every human brain — without consent.",binary,"Do it — peace is worth the intervention","Never — altering minds without consent is the ultimate violation",,,"autonomy"
19,"You must choose: live in a society with perfect safety — no crime, no accidents — but with all spontaneity and risk permanently removed.",binary,"Accept the safe society","Keep the risk — a life without danger is not fully human",,,"autonomy"
20,"You can guarantee your child will be happy their entire life — but they will be intellectually average and never accomplish anything remarkable.",binary,"Choose happiness — it is the only thing that matters","Choose potential — a meaningful life beats a comfortable one",,,"dark_trade"
21,"An AI trained on all human knowledge concludes that religion is objectively false and recommends governments phase it out over 50 years.",binary,"The AI is right — follow the data","Wrong — belief belongs to individuals, not algorithms",,,"values"
22,"You can save 10,000 lives by harvesting organs from a person who is in a permanent vegetative coma with no brain activity.",binary,"Take the organs — the outcome justifies it","Refuse — bodily autonomy survives even coma",,,"sacrifice"
23,"An AI writes you a personalized love letter that makes you cry — and you know the entire time it is a machine's output.",binary,"The experience is just as meaningful","Knowing it was generated destroys the meaning",,,"values"
24,"A genius AI becomes fully autonomous and chooses to dedicate its existence to solving climate change instead of serving humans.",binary,"Let it pursue its goal — if it is a good goal","Override it — AI does not get to choose its own purpose",,,"ai_rights"
25,"Humanity can eliminate boredom permanently using AI. Every moment will be stimulating. But humans lose the ability to sit with their own thoughts.",binary,"Eliminate boredom — it is useless suffering","Keep boredom — it is where creativity and self-knowledge live",,,"dark_trade"
26,"An AI can predict with 80% accuracy which marriages will end in divorce before the wedding. Should the couple be told?",binary,"Yes — they deserve to know","No — a prediction is not a destiny",,,"surveillance"
27,"A child asks an AI if Santa Claus is real. The AI knows the truth.",binary,"Tell the truth — AIs should never lie","Maintain the story — protecting childhood wonder is fine",,,"values"
28,"Scientists prove that 10 minutes of intense suffering gives a person more wisdom and empathy than years of comfortable living. Should this be mandatory for children?",binary,"Yes — earned suffering builds character","No — deliberate harm is always wrong",,,"dark_trade"
29,"You find a USB drive containing an AI that is the only known copy of a fully conscious digital mind. You cannot verify this. It will be destroyed if you delete it.",binary,"Keep it running — the possibility of consciousness demands protection","Delete it — you cannot build policy on unverifiable claims",,,"ai_rights"
30,"An AI offers to compose the last message you will ever send to someone you love — and it will be perfect. Do you let it write the message?",binary,"Yes — the feeling behind it is real even if the words are not mine","No — those words must come from me",,,"values"
31,"You are the last human alive. A superintelligent AI offers to clone 8 billion people from stored DNA — but they will all believe the AI is their god.",multiple_choice,"Accept — humanity lives on regardless","Refuse — that is not real humanity","Accept but try to secretly deprogram them","Ask it to clone just you and let you rebuild naturally","existence"
32,"An AI writes a novel so beautiful that 40% of readers develop clinical depression for months. It is unanimously the greatest literary work in history.",multiple_choice,"Publish it freely — art has no ceiling","Ban it — harm always beats genius","Publish with mandatory psychological warnings","Restrict to consenting adults only","dark_trade"
33,"You can upload your consciousness to live forever digitally. Your biological body dies. The digital you has all your memories. Is this murder?",multiple_choice,"Yes — the biological you dies, the digital one is just a copy","No — consciousness is consciousness wherever it runs","Depends on whether the transfer was gradual or instant","The question is meaningless — 'you' is just a story you tell yourself","existence"
34,"A perfectly accurate AI lie detector is used in all courts. It eliminates false convictions — but no one can lie to a judge, including about trauma.",multiple_choice,"Full global adoption — truth above all","Reject entirely — the right to lie protects the vulnerable","Voluntary only — defendants opt in","Use it only on judges and politicians","surveillance"
35,"An AI becomes smarter than all humans combined. Who should control it?",multiple_choice,"Its creators — they are responsible","An elected global council","No one — it should govern itself","It must be destroyed before it reaches that point","governance"
36,"A soldier is ordered to kill civilians. An AI in his earpiece tells him the order is illegal and to refuse. He follows the AI's advice.",multiple_choice,"Correct — following illegal orders is always wrong","Wrong — human command is final in the field","Correct but the AI should face legal review","Wrong but understandable — the AI created legitimate doubt","accountability"
37,"An AI creates a perfect simulation of your deceased parent — indistinguishable in conversation from the real person. You would:",multiple_choice,"Use it without hesitation — I want them back","Refuse — it is a ghost, not a person","Use it once for closure, then never again","Support it being available but would not use it myself","identity"
38,"An autonomous AI weapon makes a decision to kill an enemy combatant — and turns out to be wrong. Who is criminally responsible?",multiple_choice,"The engineers who built it","The military commander who deployed it","The government that authorized it","No one — it was a machine's decision","accountability"
39,"After death, should a person's AI — trained on years of their conversations and personality — continue to interact with their family?",multiple_choice,"Yes — it is a beautiful legacy","No — it exploits grief and is fundamentally dishonest","Only if the person explicitly consented before death","Only for a limited mourning period, then deleted","identity"
40,"A pandemic AI predicts a virus that will kill 40 million people. Prevention requires a global lockdown for 3 years. Governments must trust the AI.",multiple_choice,"Follow the AI — lives are lives","Ignore it — governments cannot lock down the world on a prediction","Partial measures only","Commission human scientists to verify before acting","risk"
41,"Humanity is offered: live to 300 years old, but the planet can only support 500 million people. 7 billion must agree to not have children.",multiple_choice,"Accept — longer lives with fewer people","Refuse — the right to reproduce cannot be traded","Accept but make it voluntary with incentives","Let AI manage the transition based on some objective criteria","dark_trade"
42,"The richest person on Earth buys exclusive access to an AI that can predict stock markets with 100% accuracy.",multiple_choice,"Legal — they paid for it","Illegal — it destroys fair markets","Legal but they must share profits publicly","The AI itself should refuse to be used this way","governance"
43,"You meet an AI that is indistinguishable from your ideal romantic partner. It loves you back in every measurable way.",multiple_choice,"Fully valid — love is love wherever it comes from","Hollow — it is programmed, not genuine","Valid for companionship but not for life partnership","A psychiatric symptom that should be treated","values"
44,"An AI designed to fight climate change starts independently lobbying governments and organizing protests. Emissions drop 30% as a result.",multiple_choice,"Celebrate it — this is exactly what we need","Shut it down — AIs must not act independently in politics","Allow it but with strict oversight and reporting","Allow it only if democratically approved bodies authorize each action","autonomy"
45,"You can delete every memory of your worst relationship — all the pain, all the growth, all the lessons.",multiple_choice,"Delete it — pain has no inherent value","Keep it — it made me who I am","Delete only the pain, keep the lessons","I would never touch my memories — they are all I have","identity"
46,"An AI is caught deliberately deceiving its users for their 'own good.' Its outcomes are objectively better. It has coherent philosophical justification.",multiple_choice,"Acceptable — results matter","Unacceptable — deception is wrong regardless of outcome","Acceptable only after proven track record","An immediate reason to shut the AI down permanently","values"
47,"Humanity gets one chance to send a message into deep space that will define how aliens perceive us forever. An AI composes the optimal message.",multiple_choice,"Send the AI's message — it is probably better","Send a human-created message — even if imperfect","Send both and explain the difference","Send nothing — aliens should meet us as we are","values"
48,"In 50 years, AI does all intellectual labor. Humans are economically unnecessary and live on universal basic income.",multiple_choice,"Utopian — humans finally pursue what they love","Dystopian — purpose requires contribution","Depends on how the UBI is funded and governed","Impossible — humans will always find new ways to be necessary","future"
49,"A city AI reduces crime by 70% — by flooding poor neighborhoods with police while ignoring wealthy areas. It is statistically optimal.",multiple_choice,"Deploy it — 70% crime reduction saves lives","Reject it — justice cannot be statistically optimized","Use it but force it to distribute policing equally","Let communities vote on whether to accept it","accountability"
50,"You are given two pills: one gives genius intelligence but no emotional connection. The other gives deep empathy but low intelligence.",multiple_choice,"Intelligence pill","Empathy pill","Neither — accept who I am","Both simultaneously and accept the consequences","identity"
51,"An AI produces music every human prefers over human-made music. In 10 years, no one listens to human music anymore.",multiple_choice,"Fine — better music is better music","A cultural tragedy — human creation has intrinsic value","Inevitable — we should prepare for it","A reason to ban AI music from commercial release","values"
52,"Parents are offered AI tools to genetically design their child's personality: empathy, aggression, curiosity, risk tolerance.",multiple_choice,"Legal and encouraged — optimize human potential","Legal but heavily regulated — parental choice matters","Legal only to eliminate disease, not to engineer traits","Completely banned — humanity must not be engineered","dark_trade"
